title,description,url,organization,age_range,start_date,end_date,start_time,end_time,day_of_week,duration_minutes,repeat_rrule,repeat_frequency,newsletter_description,newsletter_last,newsletter_highlight,calendar_skip,calendar_sent,file_url,location,neighborhood,area,created_at,list_id,status,source
Tumble & Tea,"Join The Little Gym Amsterdam for their Tumble & Tea classes, a 45-minute session designed for fun and movement. These classes are perfect for babies and toddlers aged 4 to 36 months, happening during the spring break.",https://www.instagram.com/p/DUi3VS0DGG_/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,The Little Gym Amsterdam,4 months - 3 years,2026-02-09,2026-02-09,10:00,10:45,Monday,45,,,"Come along to The Little Gym Amsterdam for their Tumble & Tea classes, a 45-minute session filled with fun and movement. Specifically designed for babies and toddlers aged 4 to 36 months, these classes offer a great activity during spring break.",,false,false,true,,"Olympiaplein 14, 1076 AB Amsterdam, The Netherlands",Stadionbuurt,South,2026-02-21 18:29,ideas,new,manual
Navigating Change: How to Find Your Flow with Mindfulness & Freewriting,"This interactive online workshop, led by career empowerment coach Paola Brignoli and creative writer Ilaria Mangiardi, helps participants embrace the inevitability of change. It offers practical tools rooted in mindfulness and freewriting to navigate transitions with clarity and confidence. Explore the psychology of change, reframe challenges, and build adaptability through self-reflection and creative exercises. The session aims to foster a grounded and curious mindset, empowering individuals to move forward with hope and a deeper connection to their creative flow.",https://www.eventbrite.com/e/navigating-change-how-to-find-your-flow-with-mindfulness-freewriting-tickets-1981087452901,,Adults,2026-02-10,2026-02-10,13:00,14:30,Tuesday,90,,,"Join career empowerment coach Paola Brignoli and creative writer Ilaria Mangiardi for an online workshop on navigating change with mindfulness and freewriting. This paid session helps adults embrace transitions with clarity and confidence, offering practical tools for self-reflection and adaptability.",2026-02-07,false,false,true,,,Other,Online,2026-02-04 13:40,ideas,new,manual
Warm Children's Clothing Donation Day,"Do you have winter clothing that no longer fits your children? Sharing with Kids, in collaboration with Quinnie’s, is organizing a donation day to collect warm children's clothing. Your pre-loved items will find a good home and help make many children happy. Please check the original Instagram post for details on what specific items can be accepted for donation.",https://www.instagram.com/p/DUQrJAZjJ30/?img_index=2&amp;igsh=MWgwNzI3Z2RpMWx1OA==,Sharing with Kids and Quinnie's,All ages (donating for children),2026-02-11,2026-02-11,14:00,16:00,Wednesday,120,,,"Sharing with Kids and Quinnie's are teaming up to host a Warm Children's Clothing Donation Day. Families are invited to donate outgrown winter clothes at Quinnie's Amsterdam, helping to make many children happy by providing them with warm apparel. This event is for parents/guardians to drop off donations, benefiting children of all ages.",2026-02-07,false,false,true,,"Rijnstraat 179, Amsterdam, The Netherlands",Rivierenbuurt,South,2026-02-02 19:28,ideas,new,manual
Valentine's Gift-Making Workshop,"The Parent-Baby workshop is a special moment for parents to connect with their baby through touch, exchange, and mutual observation. Participants will learn massage techniques, babywearing, awakening games, and non-verbal communication that promote the child's development and strengthen the attachment bond. Each session is led by an early childhood professional who will guide parents and answer questions in a caring and intimate setting. This workshop offers the opportunity to share quality time, meet other parents, and create precious memories. The event costs €25.00.",https://ecom.roller.app/papote/booknow/en/product/1205276?date=2026-02-11,Papote,,2026-02-11,2026-02-11,15:00,,Wednesday,90,,,"Join Papote for a Valentine's Gift-making Workshop, where you'll be decorating a Tote Bag alongside your little one. You also get a drink included per ticket.",2026-02-09,false,false,true,,65 Vasco da Gamastraat De Baarsjes  1057 VJ Amsterdam,De Baarsjes,West,2026-02-08 14:30,ideas,new,manual
Fourth Trimester Meetup,"An informal meetup for expecting and newborn parents (0-3 months postpartum) in the neighborhood to chat about pregnancy and postpartum experiences. It's an opportunity to make in-person connections, discuss local experiences postpartum, and find community support.",https://www.eventbrite.nl/e/fourth-trimester-meetup-tickets-1981518996660?aff=oddtdtcreator,Amsterdam Parent Project,Expecting parents and 0-3 months,2026-02-12,2026-02-12,10:00,12:00,Thursday,120,,,"The Amsterdam Parent Project invites expecting parents and those with newborns (0-3 months) to an informal meetup. Connect offline with other families in Amsterdam West, chat about pregnancy and postpartum, and find local community support.",2026-02-07,true,false,true,,,Other,West,2026-01-25 22:15,ideas,new,manual
LEGO Botanicals Bloom Bar,"Join the LEGO Botanicals Bloom Bar experience where you can unleash your creativity and build your very own custom LEGO botanical bouquet. This interactive workshop is perfect for families and involves selecting LEGO elements to craft unique floral designs. It's a hands-on activity designed to inspire creativity and provide a fun, engaging experience for all ages. Booking is required for this free event.",https://lego-botanicals-bloom-bar.appointedd.com/widget/6981b0c4a9117458cef691a0,LEGO Store Amsterdam,,2026-02-12,2026-02-15,,,Thursday,45,,,"Unleash your creativity at the LEGO Botanicals Bloom Bar, a free, interactive workshop hosted by the LEGO Store Amsterdam. Design and build your own custom LEGO botanical bouquet. Children under 9 are welcome with a parent.",2026-02-07,false,true,false,,"Rokin 75, 1012 KL Amsterdam",Dam Square,Center,2026-02-08 08:44,ideas,new,manual
Saturday Morning Toddler Club,A free club for toddlers/preschoolers (ages 2-5) and their grown-ups. We read beautiful stories by the fireplace and then go on an adventure themed after the book!,jeugdlandamsterdam.nl,Jeugdland Amsterdam,2-5 years,2026-02-14,2026-02-14,10:30,11:30,Saturday,60,RRULE:FREQ=WEEKLY;BYDAY=SA,weekly,"The Jeugdland Amsterdam hosts a free Saturday Morning Toddler Club for children aged 2-5 years and their grown-ups. Enjoy beautiful stories read by the fireplace, followed by an adventure themed after the book, fostering early literacy and shared fun.",2026-02-07,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0ADFTUFRLK/img-20260207-wa0006.jpg,"Valentijnkade 131, 1095 XR Amsterdam, The Netherlands",Flevopark,East,2026-02-07 19:27,ideas,new,manual
Beth & Flo Family Piano Concert at the Royal Concert Hall,"Beth & Flo are two remarkable pianists, Elsbet Remijn and Claudette Verhulst. Cheerful and sometimes a little crazy, they race across the keys with twenty fingers at once, but also play beautifully softly and dreamily. They are very good friends, but they also argue regularly, which you can hear reflected in their piano playing during this concert. Flo enjoys imitating animal sounds on the piano, especially loud roars, while Beth loves to sing and blow bubbles. Featuring music by Saint-Saëns, Ruben Naeff, Debussy, Gershwin and others, this concert is a piano feast for everyone. The duo studied at the Royal Conservatoire in The Hague and also tour theatres with their cabaret show.",https://www.muziekgebouw.nl/en/agenda/familiy-concert-beth-and-flo-7dkz,Muziekgebouw,,2026-02-14,2026-02-14,11:00,12:00,Saturday,60,,,"Beth & Flo are two remarkable pianists, cheerful and sometimes a little crazy. Flo enjoys imitating animal sounds on the piano, especially loud roars, while Beth loves to sing and blow bubbles. A fun way to introduce your little one to the piano this Valentine's Day — and remarkably for any family concert at the Muziekgebouw, there are still tickets left!",2026-02-08,false,false,true,,"Piet Heinkade 1, 1019 BR Amsterdam, The Netherlands",Oostelijke Handelskade,Center,2026-02-08 13:42,ideas,new,manual
Neighborhood Pancake Express,"Join neighborhood residents, the Tiny Buurthouse, and the mobile neighborhood terrace as they cycle through the Stadionbuurt. Meet them for pancakes, coffee, and tea, or swing along to live music from Diva Unlimited!",https://zuid.combiwelbuurtwerk.nl/2026/01/30/buurtpannenkoeken-express-zaterdag-14-februari/,Combiwel Buurtwerk,All ages,2026-02-14,2026-02-14,12:00,16:00,Saturday,240,,,"Join neighborhood residents, the Tiny Buurthouse, and the mobile neighborhood terrace as they cycle through the Stadionbuurt this Valentine's Day. Meet them for pancakes, coffee, and tea, or swing along to live music from Diva Unlimited!",2026-02-09,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0ADZ1HFCMA/img-20260209-wa0002.jpg,Van Tuyll van Serooskerkenplein,Stadionbuurt,South,2026-02-09 13:48,ideas,new,manual
Umi,"Umi (sea) is an enchanting, interactive musical experience that celebrates the origin of all life. This magical and musical dance performance takes you on a journey of wonder, where waves of sound and movement fill the space, inviting you to sing, dance, and be free. Dancers and musicians improvise with the reactions of the very young audience (babies and toddlers), creating a unique and moving dialogue. The show lasts 30 minutes, followed by 15 minutes of free play.",https://krakeling.nl/programma/umi-0-5,Wonderland Collectief,0.5+ years,2026-02-15,2026-02-15,11:00,,Sunday,45,,,"Umi (Sea) is a magical show that celebrates the origin of life through sound and movement. It invites babies, toddlers, and their parents to sing, dance, and play alongside the artists. Perfect for ages 0.5+ years.",2026-02-07,false,false,true,,"Pazzanistraat 15, Amsterdam",Westerpark,West,2026-01-01 21:01,ideas,new,manual
Munganga Family Carnival,"A day full of Brazilian rhythms at the Munganga Family Carnival. Come dressed up if you like, and let's dance together with live music, confetti, lemonade, and popcorn!",https://munganga.nl/programma/sun-15-feb-2026-1100-munganga-family-carnival,Munganga,All ages,2026-02-15,2026-02-15,11:00,13:00,Sunday,120,,,"A morning full of vibrant Brazilian rhythms, dancing, live music, confetti, lemonade, and popcorn! It's perfect for families of all ages looking to celebrate carnival. Costumes encouraged.",2026-02-07,false,false,true,,"Schinkelhavenstraat 27 hs, 1075 VP Amsterdam, Netherlands",Schinkelbuurt,South,2026-01-04 20:13,ideas,new,manual
Stivaletto Carnival Party,"Celebrate Carnival with Lostivaletto at Buurtcentrum De Tagerijn! This family-friendly event promises an afternoon of joy, colors, and entertainment. Activities include creative workshops specifically designed for children aged 2 to 12 years, a lively Carnival parade with a prize for the 'most beautiful mask,' and a delicious buffet for all ages. It's the perfect occasion for the Italian community and beyond to come together and enjoy a festive afternoon in Amsterdam.",https://www.instagram.com/p/DTdivj-jUiS/?igsh=Zmg5aWg2ejE5cnp6,Lostivaletto (Famiglie in italiano Amsterdam),"2-12 years, and families",2026-02-15,2026-02-15,15:00,17:30,Sunday,150,,,"Lostivaletto (Famiglie in italiano Amsterdam) invites you to their vibrant Carnival Party at Buurtcentrum De Tagerijn. This family-friendly event features entertainment, creative workshops for children aged 2-12, a costume parade, and a delicious buffet. Tickets are required for this festive afternoon of fun and community.",2026-02-07,false,false,true,,"Buurtcentrum De Tagerijn, Balboastraat 18, 1057 VW Amsterdam, The Netherlands",De Baarsjes,West,2026-01-13 22:22,ideas,new,manual
Special Parents workshop,"There's a free pilot training session for parents of children with special needs led by Tamara Janmaat, mother of a special needs child and certified Nonviolent Communication trainer. Drawing on her personal experience and expertise, she creates a place for recognition and understanding, and to practice difficult situations and conversations, find the right words, and learn to be more confident in your interactions with others. Contact tamara@vrijcommuniceren.nl for more info.",https://www.buurtkamercorantijn.nl/speciale-ouders/,Buurtkamer Corantijn,,2026-02-15,2026-02-15,13:00,17:00,Sunday,,,,"There's a free pilot training session for parents of children with special needs led by Tamara Janmaat, mother of a special needs child and certified Nonviolent Communication trainer. Drawing on her personal experience and expertise, she creates a place for recognition and understanding, and to practice difficult situations and conversations, find the right words, and learn to be more confident in your interactions with others. Contact tamara@vrijcommuniceren.nl for more info.",2026-02-07,false,false,true,,"Corantijnstraat 9, 1058 DA Amsterdam, Netherlands",De Baarsjes,West,2026-01-25 14:48,ideas,new,manual
Prenatal Yoga Monday Evenings,"Join Krishyoga's live Prenatal Yoga Class, specifically designed to support expecting parents through every stage of pregnancy. The class is led by expert prenatal yoga and hypnobirthing teacher, Krishna Hassomal. Each week, participants explore gentle yet powerful practices to ease physical discomfort, build strength, calm the mind, and nurture their connection with their baby. The class offers safe, pregnancy-focused yoga for all trimesters, guided breathing techniques, relaxation, and a supportive space to feel empowered and connected. While primarily held in person at Tante Toorop, participants can also join online or access a recording for up to 14 days.",https://www.krishyoga.com/yoga/,Krishyoga,Expecting parents,2026-02-16,2026-02-16,19:30,20:30,Monday,60,RRULE:FREQ=WEEKLY;BYDAY=MO,weekly,"Krishyoga invites expecting parents to their weekly Prenatal Yoga class, designed to support you through every stage of pregnancy. Led by expert teacher Krishna Hassomal, the class focuses on gentle yet powerful practices to ease discomfort, build strength, and connect with your baby. Join in person at Tante Toorop, or virtually from home.",,false,false,true,,"Jan Tooropstraat 8, Amsterdam, The Netherlands",Overtoomse Veld,West,2026-02-14 08:13,ideas,new,manual
Walks Playgroup,"We’ll be singing songs 🎶, reading books 📚, having fruits 🍇 together and time for freeplay.

📍Here is the address:
https://maps.app.goo.gl/6JWei8uEfkceUZcr8?g_st=ic
Room 7 (Level 2, there is an elevator)
⏰ Time: every Monday from 10:00 to 12:30

Would you like to join us?
If yes, bring a fruit to share and come along ☺️
Combiwel will provide tea and coffee for us.

We are currently setting us the space so gently used toys and floor mats are very welcome!",https://chat.whatsapp.com/GoeW247FNV4Kf12PP8szHn,WhatsApp Group: Walks - Amsterdam Mamas,,2026-02-16,2026-02-16,10:00,12:30,Monday,,RRULE:FREQ=WEEKLY;BYDAY=MO,weekly,"Amazing initiative out of the Walks group! They set up a free weekly playgroup in De Pijp for babies, toddlers, and their parents. Enjoy singing, reading, free play, and a shared fruit time. Tea and coffee are provided for adults, and participants are encouraged to bring a fruit to share. Join the group to stay updated and to volunteer.",2026-02-23,false,false,true,,"Tweede van der Helststraat 66, 1072 PG Amsterdam",De Pijp,South,2026-02-16 06:37,ideas,new,manual
Negenmaandenbeurs,"The Negenmaandenbeurs is the essential event for expectant and new parents, taking place at RAI Amsterdam. Visitors can discover over 350 top brands offering trendy items for babies, toddlers, and themselves. Tickets are available starting from 10 euros.",https://www.negenmaandenbeurs.nl/,Negenmaandenbeurs,Expectant parents & 0-4 years,2026-02-18,2026-02-21,10:00,17:00,Wednesday,420,,,"The Negenmaandenbeurs is Amsterdam's biggest baby fair, offering expectant and new parents the chance to explore over 350 top brands with trendy items for babies, toddlers, and themselves. Tickets are available from 10 euros. It's an ideal event for families with children aged 0-4 years.",2026-02-07,false,true,false,,"Europaplein 24, 1078 GZ Amsterdam, The Netherlands",Rivierenbuurt,South,2026-02-06 17:35,ideas,new,manual
Abrikos Russian Children's Club,"Abrikos Children's Club offers a wide range of developmental and educational activities for children aged 2-7 years. Programs include Russian language, math, logic, art, music, and theater classes, as well as English lessons and school preparation. The club also provides speech therapy and psychology services. Classes are held weekly from Tuesday through Sunday, with the first classes on Tuesday starting at 16:30.",https://amsterdam.abracadabra-online.com/abrikos,Abrikos,2-7 years,2026-02-18,2026-02-18,16:30,17:30,Tuesday,60,RRULE:FREQ=WEEKLY;BYDAY=TU,weekly,"Abrikos Children's Club offers a variety of engaging activities for children aged 2-7 years, including Russian language, math, art, and music classes, as well as English lessons. Hosted by Abrikos, these enriching programs are designed for early childhood development. It is a paid service, with classes running weekly from Tuesday to Sunday.",,false,false,true,,"Plesmanlaan 21, 1066 CX Amsterdam, The Netherlands",Slotervaart,West,2026-02-16 14:01,ideas,new,manual
Sophrology & Pregnancy: Body & Mind Preparation Workshop for Moms-to-be,"If you are pregnant and looking for a Maternity Preparation Course that combines body and mind, this introductory workshop is for you! It will allow you to experience the benefits of Sophrology during pregnancy: a self-development method and practice that aims at harmonizing body and mind to bring or restore general well-being and inner balance. This workshop will help you let go of tensions and stress, feel calm and confident, and get in touch and connect with your changing body and baby through breathwork, gentle movements, relaxation techniques, visualisation, and meditation.",https://www.instagram.com/p/DUArR6jjL8S/?igsh=eXUwODVsZXBvaGJ5,Delphine Ricciuti (Experience Sophro),Parents-to-be,2026-02-19,2026-02-19,19:00,20:30,Thursday,90,,,"Join Delphine Ricciuti from Experience Sophro for an online Sophrology & Pregnancy workshop. This session offers body and mind preparation for moms-to-be, focusing on harmonizing wellbeing and inner balance through breathwork, relaxation, and meditation. It's designed to help future moms connect with their changing bodies and babies.",2026-02-07,false,false,true,,,Other,Online,2026-01-27 21:53,ideas,new,manual
Blooming Balance Yoga Class - De Pjip,"Carol from Life in Bloom Yoga will be guiding parents through a nurturing, well-rounded all-levels yoga class that blends flow, stretch, strength, & stillness to support both body & inner life. Created for real bodies in changing seasons, this practice offers space for movement, rest, reflection, & connection just for the adults. No pressure, no judgment. We meet you exactly where you are.

Locations and Dates
- De Pijp: Monti's World on Thursdays Feb 19, 26 & Mar 5 at 10:30-11:30

Details:
- 1 hour session: 45 minutes of connecting with your own body & mind through yoga, 15 minutes of connecting with people going through this same messy adventure (tea & coffee provided)
- All levels welcome (even pregnant)
- Adults only

Practical Tips:
- Wear comfy clothes for movement
- Yoga mats & water are provided, but you are welcome to bring your own",https://www.lifeinbloomyoga.com/,Life in Bloom Yoga,,2026-02-19,2026-03-05,10:30,11:30,Thursday,60,RRULE:FREQ=WEEKLY;BYDAY=TH;UNTIL=20260305,weekly,"Life in Bloom Yoga offers a nurturing, all-levels yoga class for adults, including pregnant individuals, blending movement, rest, and reflection. Hosted by Carol, this paid 1-hour session includes 45 minutes of yoga and 15 minutes for connecting with other parents, with tea and coffee provided. No pressure, no judgment, all levels welcome.",2026-02-07,false,false,true,,"Ceintuurbaan 143, 1072 GB Amsterdam",De Pijp,South,2026-02-06 16:37,ideas,new,manual
Amsterdam Chocolate Festival,"The ultimate festival for all chocolate lovers in Amsterdam. Explore, taste, learn, and enjoy the finest chocolate and cocoa. Discover various chocolate makers, participate in workshops, and indulge in delicious treats suitable for all ages.",https://www.chocoladefestival.amsterdam/,Chocolade Festival Amsterdam,All ages,2026-02-21,2026-02-22,10:00,17:00,Saturday,420,,,"Indulge your sweet tooth at the Amsterdam Chocolate Festival, a delightful event for all chocolate lovers! Explore a world of flavors with tastings, participate in engaging workshops, and discover exquisite chocolate creations. This annual festival, hosted by Chocolade Festival Amsterdam, requires tickets for entry and is suitable for all ages.",2026-02-07,false,false,true,,,Dam Square,Center,2026-01-31 12:34,ideas,new,manual
Made in China: Makers Weekend at the World Museum,"Experience the 'Made in China Makersweekend' at Wereldmuseum Amsterdam, a vibrant event where art, design, and craft converge. Meet Dutch-Chinese makers and immerse yourself in a blend of tradition and innovation, celebrating craftsmanship, playfulness, and the Year of the Horse. Activities for all ages include ceramic painting, modern paper-cutting, crafting lucky knots, Nüshu calligraphy (a secret script for women), building with bamboo, and painting hairpins and fans. Come to look, experience, taste, and shop unique creations.",https://amsterdam.wereldmuseum.nl/nl/zien-en-doen/activiteiten/makersweekend-made-in-china,Wereldmuseum Amsterdam,All ages,2026-02-21,2026-02-22,10:00,17:00,Saturday,420,,,"The Wereldmuseum is hosting a Lunar New Year event celebrating the Year of the Horse and Dutch-Chinese craftsmanship. Events are happening all weekend, but for the little ones there is a lantern crafting activity and a chance to make dumplings in the shape of dinosaurs (Sunday only).",2026-02-08,false,false,true,,"Linnaeusstraat 2, 1092 CK Amsterdam, The Netherlands",Oosterparkbuurt,East,2026-02-08 13:31,ideas,new,manual
Family Musical Juf Roos Goes on Holiday,"Juf Roos is a YouTube hit and one of the most popular youth performances in the Netherlands! Juf Roos and Gijs are returning to the DeLaMar Theater for a new crazy adventure. Juf Roos wants to go on holiday in the Netherlands, but on the way to Aunt Tulp's farm, Gijs finds a lost dog. Whose dog is it? And where is Aunt Tulp? Together with the children and their (grand)parents in the audience, Juf Roos and Gijs will surely bring the adventure to a good end. At 'Juf Roos Goes on Holiday' you can join in by imagining, shouting, and dancing. And of course, all Juf Roos hits from recent years will be played!",https://delamar.nl/voorstellingen/juf-roos/,DeLaMar Theater,2+,2026-02-21,2026-02-21,14:00,,Saturday,75,,,"Join Juf Roos and Gijs at the DeLaMar Theater for a heartwarming family musical, 'Juf Roos Goes on Holiday,' designed for children aged 2 and up. This lively performance encourages kids to sing, dance, and help solve a fun mystery, featuring all of Juf Roos's popular hits. Tickets are required.",2026-02-08,false,true,false,,"Marnixstraat 402, 1017 PL Amsterdam, The Netherlands",Leidseplein,Center,2026-02-08 14:14,ideas,new,manual
Trampoline Jumping for Little Ones (MINIVROG),"Join VROG Urban Movement for a special trampoline session tailored for toddlers aged 2-5 years, known as MINIVROG. This activity allows one parent to jump together with one child in a safe and fun environment, perfect for moving, bouncing, and burning energy. Sessions are held on Saturday and Sunday mornings from 09:30 to 11:30. The price for this experience is €10, which covers one parent and one child. Booking online is required as spaces are limited. The event takes place at VROG Urban Movement, located at Mr. Visserplein 7 in the Amsterdam City Center, near Waterlooplein.",,VROG Urban Movement,2-5 years,2026-02-21,2026-02-21,09:30,11:30,Saturday,120,"RRULE:FREQ=WEEKLY;BYDAY=SA,SU",weekly,"VROG Urban Movement invites toddlers aged 2-5 and their parents to a fun trampoline jumping session! These 'MINIVROG' sessions, held weekly on Saturday and Sunday mornings, offer a safe way for one parent and one child to bounce and burn energy together. The cost is €10 for a parent and child, and booking online is essential due to limited spaces.",,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0AEZU7EHFT/screenshot_20260212-133239.png,"Mr. Visserplein 7, 1011 RD Amsterdam, The Netherlands",Centrum,Center,2026-02-12 17:47,ideas,new,manual
Spring Break Fun at WOPL! - Creative Play World,"WOPL! - World of Play & Learning is a vibrant creative play world designed for children and adults to play, discover, and learn together. During the upcoming spring break, visitors can enjoy a special 20% discount on tickets by using the code SPRINGBREAK20.",https://www.instagram.com/p/DUrC19xAO68/?igsh=MWszamxwN2Z0ZGZ3NQ==,WOPL! - World of Play & Learning,,2026-02-21,2026-03-01,10:00,17:00,Saturday,,RRULE:FREQ=DAILY;UNTIL=20260301,daily,"WOPL! - World of Play & Learning invites families to explore its vibrant creative play world, where children and adults can play, discover, and learn together. Enjoy a special 20% discount on tickets for this engaging activity during the upcoming spring break. Open to all ages, tickets are available with the SPRINGBREAK20 code.",,false,true,false,,"Stadionplein 300, 1076 CK Amsterdam",Stadionbuurt,South,2026-02-16 06:31,ideas,new,manual
Gewoon zoals je bent,"Klein Amsterdam Producties presents 'Gewoon zoals je bent' (Just the way you are), a musical and visual theater performance for ages 2+. Based on Jonny Lambert's popular picture book, the play takes you into the world of Little Snuf the elephant, who struggles to walk in line due to his curiosity. Repeatedly told 'In line, Little Snuf!', he ultimately embraces being himself, just the way he is. The performance lasts 40 minutes and booking fees apply.",https://meervaart.nl/agenda/gewoon-zoals-je-bent,Meervaart,2+ years,2026-02-23,2026-02-23,10:00,,Monday,40,,,'Gewoon zoals je bent' is a musical and visual theater performance that celebrates individuality through the story of a unique little elephant; based on the beloved picture book by Jonny Lambert.,,false,false,true,,"Meer en Vaart 300, 1068 LE Amsterdam, The Netherlands",Osdorp,West,2026-01-03 14:40,ideas,new,manual
10-Week Workout Mama Program,"The Workout Lab offers a comprehensive 10-week workout program designed for pregnant women. This program includes weekly 1.5-hour group workout sessions, opportunities to meet other mums-to-be, unlimited Workout Mama & Power classes available at two Amsterdam locations, 5 expert seminars on pregnancy exercise, and an online course covering key pregnancy and exercise topics. Participants receive safe guidance and can work at their own pace. This specific offering is part of a giveaway, where one lucky mama-to-be can win the full program, valued at €449. The giveaway entry period closes on February 13th, 2026.",https://www.instagram.com/p/DUbK1MZDdUL/?igsh=OWJyNHI2NDY4Y3Nm,The Workout Lab,Pregnant women,2026-02-23,2026-04-27,10:00,11:30,Monday,90,RRULE:FREQ=WEEKLY;UNTIL=20260427,weekly,"The Workout Lab offers a comprehensive 10-Week Workout Mama Program for pregnant women, featuring weekly group sessions, unlimited classes at two Amsterdam locations, expert seminars, and an online course. One lucky mama-to-be can win this valuable €449 program for free by entering a giveaway that closes February 13th.",2026-02-08,false,true,false,,,Other,Everywhere,2026-02-08 13:13,ideas,new,manual
LiCHT,"Step into an enchanting world where light and movement merge into a spectacle. LiCHT is a dance performance in which a dancer and an aerial acrobat play with reflections, colors, and perspectives. Inspired by the magic of natural light—the glitter of sunbeams on water, a rainbow in the sky—LiCHT takes the audience on a visual journey of discovery. As the performers move through space, both on the floor and high above the stage, an intriguing interplay of shadow, reflection, and illusion unfolds. Using mirrors and reflective materials, a dynamic game of concealing and revealing is created, involving both performers and audience in a special interaction.",https://krakeling.nl/programma/licht,Theater De Krakeling,2+,2026-02-25,2026-02-25,11:00,,Wednesday,45,,,"LiCHT is an enchanting dance and aerial acrobatics performance that plays with reflections, colors, and perspectives. This visual journey of discovery unfolds through an intriguing interplay of shadow, mirroring, and illusion, engaging both performers and audience.",,false,false,true,,"Pazzanistraat 15, Amsterdam",Westerpark,West,2026-01-01 20:32,ideas,new,manual
Free Children's Clothing Giveaway,"Sharing with Kids hosts a free children's clothing giveaway event, offering pre-loved clothing to support families. Note that the start time has changed to 3:00 PM.",https://www.instagram.com/p/DT8Yb6ODJ94/?igsh=dWxzk2OG9lc3pi,Sharing with Kids,Families with young children,2026-02-25,2026-02-25,15:00,17:00,Wednesday,120,,,"Join Sharing with Kids for their weekly free children's clothing giveaway, a helping hand for families with young children. Take home pre-loved clothing for your little ones. The event runs from 3:00 PM to 5:00 PM.",,false,false,true,,"Louis Couperusstraat 13, 1064 BZ Amsterdam, The Netherlands",Geuzenveld-Slotermeer,West,2026-01-25 22:08,ideas,new,manual
Blooming Balance Yoga Class - West,"Carol from Life in Bloom Yoga will be guiding parents through a nurturing, well-rounded all-levels yoga class that blends flow, stretch, strength, & stillness to support both body & inner life. Created for real bodies in changing seasons, this practice offers space for movement, rest, reflection, & connection just for the adults. No pressure, no judgment. We meet you exactly where you are.

Locations and Dates
- West: Studio da Vasco on Wednesdays Feb 25, Mar 4 & 11 at 10:30-11:30

Details:
- 1 hour session: 45 minutes of connecting with your own body & mind through yoga, 15 minutes of connecting with people going through this same messy adventure (tea & coffee provided)
- All levels welcome (even pregnant)
- Adults only

Practical Tips:
- Wear comfy clothes for movement
- Yoga mats & water are provided, but you are welcome to bring your own",https://www.lifeinbloomyoga.com/,Life in Bloom Yoga,,2026-02-25,2026-03-11,10:30,11:30,Wednesday,60,RRULE:FREQ=WEEKLY;BYDAY=WE;UNTIL=20260311,weekly,"Life in Bloom Yoga offers a nurturing, all-levels yoga class for adults, including pregnant individuals, blending movement, rest, and reflection. Hosted by Carol, this paid 1-hour session includes 45 minutes of yoga and 15 minutes for connecting with other parents, with tea and coffee provided. No pressure, no judgment, all levels welcome.",2026-02-23,false,false,true,,"Vasco Da Gamastraat 10, 1057 VK Amsterdam",De Baarsjes,West,2026-02-06 16:36,ideas,new,manual
Everything moves,"A captivating performance by Viola for 'curious mini-explorers,' exploring balance, sound, and wonder. The show features the manipulation of everyday objects, balancing on rollers, and a journey through movement, equilibrium, and transformation of space. Accompanied by a unique musical universe of percussion, crumpled paper, drums, and electronic sounds, it creates a gentle, visual, and musical experience. Viola, a rola bola specialist, offers a modern reinterpretation of this traditional circus discipline.",https://krakeling.nl/programma/alles-beweegt-tout-bouge,Theater de Krakeling,0-6 years,2026-02-27,2026-03-01,11:00,,Friday,30,,,"This unique show is a modern reinterpretation of rola bola, a traditional circus discipline. It explores balance, sound, and wonder through the magic of everyday objects in a gentle and inspiring visual and musical journey for ages 0-6.",,false,false,true,,"Pazzanistraat 15, Amsterdam",Westerpark,Other,2026-01-01 20:44,ideas,new,manual
Spicy Margaritas x Mums and Bubs Class,"Chilis Pilates hosts a special 'Mums and Bubs' class at The Margarita Bar. This event combines a pilates workout where mothers can move with their babies, followed by a social gathering. Participants can unwind with spicy margaritas (alcohol-free options available) and some bites, and socialize with other mums. Mats are provided. More info and booking link available in Chilis Pilates' bio.",https://www.instagram.com/p/DT3XFbIDBsh/?igsh=cmVpcDMzdzMzZmg3,Chilis Pilates,Babies & Parents,2026-02-28,2026-02-28,13:30,15:00,Saturday,90,,,"Join Chilis Pilates for a 'Mums and Bubs' class at The Margarita Bar! This special event combines a pilates workout with your baby, followed by an opportunity to socialize with other mothers over spicy margaritas (alcohol-free options available) and bites. Perfect for new parents looking to connect and stay active with their little ones.",,false,false,true,,"Lange Leidsedwarsstraat 71A, Amsterdam, The Netherlands",Leidsebuurt,Center,2026-01-23 20:45,ideas,new,manual
